,URL,building,district,neighborhood,price,beds,baths,surface,lat,long,highlights,furnishing,amenities,completion_year,floor,price_sqf,views,discounted,cheap,distressed,investment,tenanted,vacant,metro,furnished,condition,upgraded,luxury,median_sqf,diff_percent,valuation
22,"https://www.bayut.com/property/details-5909479.html
",Sobha Daffodil Wing A,Jumeirah Village Circle (JVC),Sobha Daffodil,450000,1.0,2,933.0,25.047142,55.206906,"Amazing 1BHK,Best Investment for Standard Living,",Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Flooring', 'Electricity Backup', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Reception/Waiting Room', 'Flooring', 'Gym or Health Club', 'Swimming Pool', 'Lawn or Garden', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom']",0,,482.3151125401929,0,0,0,0,1,0,0,0,0,0,,0,813.2859142247321,-40.69550399136549,good value
38,"https://www.bayut.com/property/details-5886675.html
",,Downtown Dubai,Mada Residences by ARTAR,3299989,3.0,4,2196.0,25.193583,55.285234,"Well Furnished,Next to Dubai Mall,Boulevard View",,"['Balcony or Terrace', 'Maids Room', 'Laundry Room']",0,,1502.7272313296903,1,0,0,0,0,0,0,0,1,0,,0,2794.026135656503,-46.216421809647834,good value
45,"https://www.bayut.com/property/details-5885791.html
",Golden Mile 8,Palm Jumeirah,Golden Mile,2600000,2.0,3,2500.0,25.110662,55.141861,"Exclusive, Two Bedroom, Extended Terrace",,"['Balcony or Terrace', 'Parking Spaces: 1', 'Maids Room', 'Swimming Pool', 'Electricity Backup', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Central Heating', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Reception/Waiting Room', 'Flooring', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Intercom', 'Maids Room']",0,,1040.0,0,0,0,0,0,0,0,0,0,0,,0,1611.1111111111109,-35.448275862068954,good value
82,"https://www.bayut.com/property/details-5843261.html
",Golden Mile 6,Palm Jumeirah,Golden Mile,1500000,1.0,1,1288.0,25.109089,55.144157,"Partial Sea View, Vacant On Transfer, Immaculate",,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Flooring', 'Electricity Backup', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Central Heating', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Reception/Waiting Room', 'Flooring', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Intercom']",0,,1164.5962732919254,1,0,0,0,0,0,1,0,0,0,,0,2462.286414836728,-52.70264798300693,great value
114,"https://www.bayut.com/property/details-5683231.html
",,Dubai Marina,Elite Residence,3499999,3.0,3,3175.0,25.089626,55.148014,"Exclusive, Sea and Palm View, Upgraded",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Sauna', 'Electricity Backup', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Elevators in Building: 12', 'Completion Year: 2010', 'Prayer Room', 'Swimming Pool', 'Sauna', 'Day Care Center', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Business Center', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2010,,1102.3618897637796,1,0,0,0,0,0,0,0,0,0,upgraded,0,1610.8247422680413,-31.56537388346456,good value
120,"https://www.bayut.com/property/details-5768643.html
",,Dubai Marina,The Torch,1250000,2.0,2,1258.0,25.087900161743,55.147399902344,"Exclusive, Partial Palm/Sea View, 2 Beds",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Sauna', 'Parking Spaces', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2008', 'Swimming Pool', 'Sauna', 'Steam Room', 'Barbeque Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'ATM Facility', '24 Hours Concierge']",2008,,993.6406995230524,1,0,0,0,0,0,0,0,0,0,,0,1528.2555282555284,-34.982031397768125,good value
141,"https://www.bayut.com/property/details-5715588.html
",,Jumeirah Village Circle (JVC),Astoria Residence,550000,1.0,2,1027.0,25.06526,55.211685,"Luxurious 1 Plus Study, Priced To Sell, Vacant",Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Sauna', 'Electricity Backup', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2009', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Sauna', 'Steam Room', 'Kids Play Area', 'Waste Disposal', 'Security Staff', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2009,,535.5404089581305,0,0,0,0,0,0,1,0,0,0,,0,813.2859142247321,-34.151028612288655,good value
153,"https://www.bayut.com/property/details-5682779.html
",,Dubai Marina,The Belvedere,700000,1.0,2,818.0,25.068199157715,55.130699157715,Vacant Fully Furnished great Investment,Furnished,"['Furnished', 'Balcony or Terrace', 'Parking Spaces', 'Maids Room', 'Furnished', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2005', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Kids Play Area', 'Lawn or Garden', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Maids Room', 'View']",2005,,855.7457212713937,0,0,0,0,1,0,1,0,1,0,,0,1524.779462290593,-43.87741031179332,good value
159,"https://www.bayut.com/property/details-5714602.html
",Rimal 5,Jumeirah Beach Residence (JBR),Rimal,2200000,4.0,5,2674.0,25.076013,55.133375,Elegant Spacious 4 BHK  - Pool View Walk To Beach -  Urgent Sale,Unfurnished,"['Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', 'Maids Room', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2006', 'First Aid Medical Center', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Day Care Center', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Conference Room', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'ATM Facility', '24 Hours Concierge', 'Maids Room', 'Freehold']",2006,,822.7374719521316,1,0,0,0,0,0,0,0,0,0,,0,1258.2781456953642,-34.61402196590953,good value
172,"https://www.bayut.com/property/details-5684915.html
",DEC Tower 1,Dubai Marina,DEC Towers,1450000,2.0,3,1739.0,25.068292,55.129856,"Stunning Views, 2 Bedrooms, Upgraded",,[],0,,833.8125359401955,1,0,0,0,0,0,0,0,0,0,upgraded,0,1458.4369817578772,-42.828346622478804,good value
