URL,listing_id,type,building,district,neighborhood,price,beds,baths,surface,prop_area,lat,long,highlights,condition,purpose,desc,completion,furnishing,amenities,added_on
"https://www.bayut.com/property/details-5736817.html
",5736817,residential-floors,,Business Bay,Volante Tower,39000000,5,[6],10788,1002.23799552,25.182527,55.271628,"Full-floor,Stunning Views, Waterfront Luxury Living",any,Buy,"Luxurious five bedroom in the exclusive Volante, on the shores of the Dubai Canal facing the Burj Khalifa and stunning Downtown Dubai skyline. One of only 45 units in the building, this full-floor unit offers gorgeous high-end finishes and architectural design that cater to the highest standards of luxury living. This 10,788.56 sq ft home (with 5 bedrooms, accommodations for 3 maids, parking for 4 cars) boasts the  highest luxury finishings including Italian travertine, marble floors, Jordanian limestone and Zebrano wood panelling. The home is equipped with two kitchens, including a light kitchen in the main living area and wet/heavy duty kitchen in the rear of the unit. Retractable living room doors open to a 640sq ft terrace which can easily seat 10 for dinner. The master bedroom has its own sitting room and his and her dressing rooms. On the 4th floor of the building is a private Club that has been created exclusively for the enjoyment of residents and their guests. The Club is divided into three distinct areas, with a fully-equipped spa, a lounge area, and a garden area which includes an infinity pool, sunken firepit and outdoor spa treatment rooms. Beth Hirshfeld is a Private Client Advisor with Christie’s International Real Estate Dubai. A Canadian lawyer based in Dubai since 2014, Beth has spent her career working with some of the highest-profile executives and investors. Her clients rely on her honesty, attention to detail, discretion, and personable nature to optimize their outcomes and experience. Her qualifications as a Certified Staging Professional, Interior Decorator, Certified Aging-in-Place Specialist, and her extensive experience in global trade and international business, equip her to handle the various facets of the domestic and international real estate markets for her clients.",Ready,Unfurnished,"['Balcony or Terrace', 'Centrally Air-Conditioned', 'Service Elevators', 'CCTV Security', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Service Elevators', 'CCTV Security', 'Satellite/Cable TV']","February 14, 2022"
"https://www.bayut.com/property/details-5736817.html
",5736817,residential-floors,,Business Bay,Volante Tower,39000000,5,[6],10788,1002.23799552,25.182527,55.271628,"Full-floor,Stunning Views, Waterfront Luxury Living",any,Buy,"Luxurious five bedroom in the exclusive Volante, on the shores of the Dubai Canal facing the Burj Khalifa and stunning Downtown Dubai skyline. One of only 45 units in the building, this full-floor unit offers gorgeous high-end finishes and architectural design that cater to the highest standards of luxury living. This 10,788.56 sq ft home (with 5 bedrooms, accommodations for 3 maids, parking for 4 cars) boasts the  highest luxury finishings including Italian travertine, marble floors, Jordanian limestone and Zebrano wood panelling. The home is equipped with two kitchens, including a light kitchen in the main living area and wet/heavy duty kitchen in the rear of the unit. Retractable living room doors open to a 640sq ft terrace which can easily seat 10 for dinner. The master bedroom has its own sitting room and his and her dressing rooms. On the 4th floor of the building is a private Club that has been created exclusively for the enjoyment of residents and their guests. The Club is divided into three distinct areas, with a fully-equipped spa, a lounge area, and a garden area which includes an infinity pool, sunken firepit and outdoor spa treatment rooms. Beth Hirshfeld is a Private Client Advisor with Christie’s International Real Estate Dubai. A Canadian lawyer based in Dubai since 2014, Beth has spent her career working with some of the highest-profile executives and investors. Her clients rely on her honesty, attention to detail, discretion, and personable nature to optimize their outcomes and experience. Her qualifications as a Certified Staging Professional, Interior Decorator, Certified Aging-in-Place Specialist, and her extensive experience in global trade and international business, equip her to handle the various facets of the domestic and international real estate markets for her clients.",Ready,Unfurnished,"['Balcony or Terrace', 'Centrally Air-Conditioned', 'Service Elevators', 'CCTV Security', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Service Elevators', 'CCTV Security', 'Satellite/Cable TV']","February 14, 2022"
"https://www.bayut.com/property/details-5767521.html
",5767521,residential-floors,,Dubai Marina,5242 Towers,17000000,,[10],7007.000000000001,650.9716012800001,25.071367,55.124955,FULL FLOOR I 4 UNITS OF 3 BR I BIRD EYE VIEW,any,Buy,"Tabani Real Estate is proud to announce the only available full floor in tower. 52|42 is a coastal complex with a seaside serenity. Apartment Attributes:    Panoramic Sea view.     The unit has 2 balconies facing the sea.      Floor-to-ceiling glasses.     Open kitchen with appliances.     Ensuite maids room.     The balcony has a panoramic view of the Sea and Marina Skyline.     8 parking spaces.   Project Facilities:    Infinity pool deck with a view of the Marina Skyline & Arabian Sea.     State of the art gymnasium.     Kids pool & childrens play area    A breathtaking see-through lobby with a view of the sea. Location:    An enticing place for residents to live, work, and raise a family.     Easy access to the walking bridge across the water to JBR beach, The Walk & Marina Promenade.     Proximity to Dubai Tram & Metro.     Easy connectivity to entertainment & Leisure activity.     Direct car entrance access from Sheikh Zayed road without the day to day  hassles of Marina traffic.  PROPERTY FEATURES:  -Balcony -Basement parking -Broadband ready -Central air conditioning -Central heating -Covered parking -Fully fitted kitchen -Intercom -Kitchen white goods -Laundry/washing room -Maid's room -On high floor -Sauna -Shared swimming pool -View of sea/water -24 hours Maintenance -Bank/ATM Facility -Bus services -Business Center -Clubhouse -Fitness Center -Metro station -Mosque -Public park -Public parking -Restaurants -School -Shops -Valet Service",Ready,,"['Balcony or Terrace', 'Parking Spaces', 'Maids Room', 'Swimming Pool', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Gym or Health Club', 'Swimming Pool', 'Sauna', 'Maintenance Staff', 'Business Center', 'Laundry Room', 'Broadband Internet', 'Intercom', 'ATM Facility', 'Maids Room', 'Floor']","February 24, 2022"
"https://www.bayut.com/property/details-5895855.html
",5895855,residential-floors,Jumeirah Gate Tower 1,Jumeirah Beach Residence (JBR),The Address Residences Jumeirah Resort and Spa,40000000,,[0],9547,886.94532288,25.072222279941,55.126414561542,"Full Floor Residential|Sea, Marina Views|Call Now",any,Buy,"Are you the kind of investor that values the view and location of the property you are looking to invest in for business purposes?Interested to own a full-floor residential property with a strong sense of community and great value for money?We got the perfect property for you. Call now. Metropolitan Premium Properties is proud to bring you this prime beach fronting full-floor residential apartment that gives it everything simply to surpass all of your expectations. Decisive and switched-on, laidback homebuyers would be crazy not to make this their new business opportunity. The clever action to take is to get in touch with me to join us for a private viewing. Property Details:* Full Floor * Residential Tower * 4 x 2 Bedrooms ( Type R2C, R2E, R2F and R2G)* 1 x 3 bedroom ( Type R3B)* 1 x 4 Bedrooms ( Type R4A)* Very HIgh Floior* Sea view and Marina View* Total 8 Car Parkings* Total Size: 9,547 sq. ft. * Selling Price: AED 40,000,000/-",Ready,Unfurnished,"['Balcony or Terrace', 'Swimming Pool', 'Centrally Air-Conditioned', 'Central Heating', 'Centrally Air-Conditioned', 'Central Heating', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', '24 Hours Concierge']","April 18, 2022"
"https://www.bayut.com/property/details-5873917.html
",5873917,offplan-residential-floors,Avanos Residence,Jumeirah Village Circle (JVC),JVC District 10,17593000,,[4],22000,2043.86688,25.067119,55.208386,Exclusive Full Floor | Investors Deal | New Launch,any,Buy,"!!!! Exclusive Full Floor with Sky View Real Estate Brokers !!!Sky View Real Estate is proud to present you the Brand-New Luxurious Apartment in JVC. AVANOS by MYRA REAL ESTATE DEVELOPMENT LLC IS LAUNCHING A LUXURIOUS SMART HOME AUTOMATION APARTMENT SOON AND EXCLUSIVELY FOR SKY VIEW REAL ESTATE!MULTIPLE UNITS OF STUDIO, 1BR+STUDY, 2BR+STUDY & 3BR+STUDY ARE AVAILABLE!!!!!!!! Full Floor Details !!!!* Studios          :- 6 Units* 1BR + Study  :- 13 Units* 2BR +Study   :- 2 Units* 3BR +Study   :- 1 UnitFEATURES:* Building Elevation G+P+4* Home Automation / Smart Home* White Goods Included * All Units comes with Study Room except Studio * Service Charges AED 11 to 12 Per Sq. Ft. * Payment Plan 30/70 with 5% Down Payment BUILDING AMENITIES:* Opulent Entrance / Lobby* Fully Fitted Kitchen (White Goods included)* Home Automation (Control AC, Lights & Curtains through App)* Over Flow Swimming Pool* Kids Play Area* Barbeque Deck* Cabana Seating* Covered Parking* Balcony* GymFor More Call Mr. Akash Kanjwani on ",Off-Plan,,[],"April 7, 2022"
"https://www.bayut.com/property/details-5846490.html
",5846490,offplan-residential-floors,,Business Bay,Ahad Residences,17823823,,[0],10066,935.1620006400001,25.186644033036,55.266109715846,Residential Floor | Prime Location | Business Bay,any,Buy,"Next Level Real Estate by Abdul Ahad, Happy to Announced AHAD Residences in Buinsess Bay,  Project is 50% Completed Already and going to Handoevr in June 2023. Prime Location In Business Bay, Easy Access from Metro and Sheikh Zayed Road. 14 Units In Total on This FloorStudio Type A X 1 UnitSize: 416.89 SqFeet Approx Studio Type B X 3 UnitSize: 456.28 SqFeet Approx1 Bedroom x 10 UnitsType A, B1, C & Type ESizes Starts From 905.14 Sq FeetWhole Floor Sellable Area: 10,066 Sq FeetSelling Price AED 17,823,823/- AED 1,770.69 Per Sq FeetAttractive Payment Plan1) : 10% - Booking2) : 10% - 30 Days After Booking3) : 10% - 6 Month After Booking4) : 10% - 12 Months After Booking5) : 60% - On Completion (June 2023)Building Features:Barbeque AreaKids Play AreaLawn or GardenGym or Health ClubJacuzziSaunaSteam RoomSwimming PoolFacilities for DisabledBalcony or TerraceLobby in BuildingReception/Waiting RoomSecurity StaffCCTV SecurityFreehold24 Hours ConciergeBroadband InternetSatellite/Cable TVIntercomDouble Glazed WindowsCentrally Air-ConditionedCentral HeatingElectricity BackupWaste DisposalCall our Senior Property Adviser for more information & meeting for viewing show apartment on : ",Off-Plan,Unfurnished,"['Balcony or Terrace', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Electricity Backup', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2023', 'Reception/Waiting Room', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Waste Disposal', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Freehold']","March 26, 2022"
"https://www.bayut.com/property/details-5549279.html
",5549279,offplan-residential-floors,Grand Bleu Towers,Dubai Harbour,EMAAR Beachfront,34000000,12,[19],8960,832.4112384,25.099474,55.140676,Investors Deal | Full Floor | Post Payment  | Grand Bleu by Elie Saab,any,Buy,"Brought to you by H&S Real estate this great opportunity for all investors to own full floor apartment exclusively designed by Ellie Saab located at Grand Bleu Tower, Emaar Beachfront. Designed by Ellie Saab - Grand Bleu Tower - 2No. of Unit: 8No of Bed: 12Total Area: 8,960 SQFTPost Payment PlanThe Grand Blue Tower is ideally located in Emaar Beachfront and features the finest modern designs of Elie Saab, the tower enjoys a stunning view of the Palm Island, the sparkling sea water and the blue sky scene with a view of the Promenade and the nearby gardens, making the tower a luxurious and modern destination. Amenities:Private Access to the 1.5 KM BeachSteps away from Marina & Yacht ClubInfinity - Edge Swimming Pool Panoramic Views of the Arabian Sea Miami - Style Pool Deck Tropical Garden Rooms Kids Splash Pads & Play Area This house is only available to the first buyer who acts NOW. Call us NOW. For further details and viewings, please call: Aysel ",Off-Plan,,"['Balcony or Terrace', 'Swimming Pool', 'Electricity Backup', 'Centrally Air-Conditioned', 'Electricity Backup', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Lawn or Garden', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Freehold']","November 25, 2021"
"https://www.bayut.com/property/details-5732592.html
",5732592,residential-floors,Tower D,Business Bay,DAMAC Towers by Paramount Hotels and Resorts,20000000,11,[17],8541,793.4848646400001,25.193518,55.265523,Full Floor for Sale | Great Value,any,Buy,"Property details:Three - 1 Bedroom - total size: 2,926.48 sqftTwo - 3 Bedroom - total size: 1,386.07 sqftOne - 2 Bedroom - total size: 4,229.03 sqftUnit 1 (3BR) - 1,982.28 sqftUnt 2 (3BR) - 2,246.75 sqftUnit 3 (2BR) - 1,386.07 sqftUnit 4 (1BR) - 940.87 sqftUnit 5 (1BR) - 943.99 sqftUnit 6 (1BR) - 1,041.62 sqftParamount Tower Hotel and Residences makes an awe-inspiring addition to Dubai’s astounding skyline, offering views of the Burj area, the Palms, the World Islands, and the famous Burj Al Arab. Rising by Sheikh Zayed Road, the new complex is placed within easy reach of some of the city’s most well-known attractions, including the Dubai Mall, the Dubai Fountain, Dubai Opera, and Dubai Aquarium & Underwater Zoo, making sure that residents have a wealth of options to explore during their weekends. Additionally, Paramount Tower Hotel and Residences is located close to two metro stations, while Dubai International Airport is only a 15-minute drive away. Property amenities:-Swimming Pool-Gym-Ball Room-24/7 Concierge-24/7 security-24/7 reception staff-Premium location in Business Bay*Photos are for illustrative purposes only*For more details please call:INDER ",Ready,Furnished,['Furnished'],"February 11, 2022"
"https://www.bayut.com/property/details-5840632.html
",5840632,offplan-residential-floors,,Jumeirah Beach Residence (JBR),The Address Residences Jumeirah Resort and Spa,40000000,,[7],9560,888.1530624000001,25.073706,55.126349,Full Floor | Panoramic Views | Vacant,any,Buy,"Exclusive Full floor for sale. 6 Units - High Floor - Vacant - Assures 7 % Net return. 1 x 4 Bed - Sea View1x 3 Bed - Sea View3 x 2 Bed - Sea Views1 x 2 bed - Dubai marina View Full Views of the Sea Available Partial Views of the Sea Views of Marina/City En-Suite Bathroom in Every Bedroom Built-in Wardrobes in Every Bedroom Fully Fitted KitchenThroughout Address Beach Resort you will find spectacular swimming pools with landscaped terraces such as our Adult Pool, Family Pool, and Kids Splash Pad. Landscaped TerracesSpectacular ViewsWorld’s Tallest Infinity Pool (length 94.84m, adults only 21+)Adult Pool (length 53.95m, width 32.13m)Family Pool (length 48.95m, width 17m)Kids Splash PadOur dedicated team of certified personal trainers and our broad range of advanced equipment cater to our guests who are seeking an active lifestyle. Open 24 hours a day, 7 days a week. Open 24/7Certified TrainersAdvanced EquipmentThe Qix Kids ClubWe’ve made sure to keep the little ones delighted with our dedicated children’s spaces: Splash Pad, Family Pool and The Qix Club – a kids club designed to educate and entertain. For furthermore Exclusive details or to schedule a viewing,Call ",Off-Plan,Unfurnished,[],"March 24, 2022"
"https://www.bayut.com/property/details-5923044.html
",5923044,offplan-residential-floors,,Wadi Al Safa 2,,55000000,21,[21],75000,6967.728,25.103403,55.354497,Investment opportunity in Dubai Apartments for sale new tower Prime location on Dubai Street,any,Buy,Investment opportunity in DubaiApartments for sale new towerPrime location on Dubai StreetAl Ain in front of Zayed UniversityIt consists of a room and a hallTwo rooms and a halllarge areasThe rooms are all furnishedupon receiptvery tempting offerSpecial Discountlower than market priceOnly on this adDon't forget the discount code950Contact a real estate expertMohammed Al-Hassan Abu Fahd,Off-Plan,Furnished,['Furnished'],"April 29, 2022"
