URL,listing_id,type,building,district,neighborhood,price,beds,baths,surface,prop_area,lat,long,highlights,condition,purpose,desc,completion,furnishing,amenities,added_on
"https://www.bayut.com/property/details-5822786.html
",5822786,villa-compound,,Umm Suqeim,Umm Suqeim 2,40000000,4,[5],23475,2180.8988640000002,25.150024023011,55.205569267273,Large Compound Villas | Luxurious Living,any,Buy,"Brought to you by Driven Properties, this Compound Villa is located in Umm Suqeim 2. Unit Details:- Total of 4 villas- Each villa is 4 bedrooms with attached bathroom + maid room- 2 villas are upgraded, 1 comes with a pool- Wooden floor- Fully rented- View: garden- Plot Area: 23475 square feet- BUA for each villa 6100 square feet- Parking: 2 per villa Features:- Balcony- Private Garden- Solid wood floors Umm Suqeim is a non-freehold community of villas in Dubai. This community is conveniently located in between old and new Dubai. And known for its close proximity to the world-famous Burj Al ArabCall our Business Bay office for more information or viewing on ",Ready,,"['Balcony or Terrace', 'Maids Room', 'Centrally Air-Conditioned']","March 17, 2022"
"https://www.bayut.com/property/details-5822786.html
",5822786,villa-compound,,Umm Suqeim,Umm Suqeim 2,40000000,4,[5],23475,2180.8988640000002,25.150024023011,55.205569267273,Large Compound Villas | Luxurious Living,any,Buy,"Brought to you by Driven Properties, this Compound Villa is located in Umm Suqeim 2. Unit Details:- Total of 4 villas- Each villa is 4 bedrooms with attached bathroom + maid room- 2 villas are upgraded, 1 comes with a pool- Wooden floor- Fully rented- View: garden- Plot Area: 23475 square feet- BUA for each villa 6100 square feet- Parking: 2 per villa Features:- Balcony- Private Garden- Solid wood floors Umm Suqeim is a non-freehold community of villas in Dubai. This community is conveniently located in between old and new Dubai. And known for its close proximity to the world-famous Burj Al ArabCall our Business Bay office for more information or viewing on ",Ready,,"['Balcony or Terrace', 'Maids Room', 'Centrally Air-Conditioned']","March 17, 2022"
"https://www.bayut.com/property/details-5800237.html
",5800237,villa-compound,,Mirdif,Uptown Mirdif,12500000,5,[6],14010,1301.5715904,25.221599578857,55.425201416016,Compound | 6 Villas | High ROI | Away From Flight Path,any,Buy,"ALH Properties is proud to present this 6 villas for sale in Mirdif. Description:5 bedrooms Huge Living Roombig storage laundry room private yard far from the airportAbout Mirdif:Mirdif is a residential district in north-east Dubai about 10km from Deira City Centre and close to Dubai International Airport. Al Mizhar lies to the north and Al Warqa to the south. Al Mushrif public park is situated on Mirdif’s eastern flank. Properties in Mirdif are mainly villas, either individual, privately owned or in gated communities. The population is a mix of Emiratis, Europeans, South-Asians and Arabs. Area Summary:An organically evolved community in Dubai, Mirdif City Centre is one of the family-friendly attractions in Dubai. Home to the massive Mushrif Park Beloved by long-time expats as well as locals. ALH Properties LLC: Residential – Serviced apartments – Commercial. Our vision is to provide fast, seamless and reliable services which are tailor-made to meet all the needs of our clients. For more information about this property. Please call Yara Khouzam ",Ready,Unfurnished,"['Balcony or Terrace', 'Parking Spaces', 'Maids Room', 'Swimming Pool', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Storage Areas', 'Study Room', 'Balcony or Terrace', 'Completion Year: 2009', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'Laundry Room', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'Maids Room']","March 9, 2022"
"https://www.bayut.com/property/details-5690262.html
",5690262,villa-compound,,Mirdif,,7000000,18,[18],10000,929.0304000000001,25.222801361656,55.424952507019,6 VILLAS COMPOUND FOR SALE | WITH PRIVATE ENTRANCE | MIRDIFF,any,Buy,"Taryam Real Estate is proud to present this amazing 6 VILLAS COMPOUND at an affordable SALE price in a prime location in MidriffKey Features of the property:1. Each villa  - 3 Bedrooms + One Living room2. Each Villa - 1 Parking space3. Each Villa - Kitchen, Laundry room, Store room. 4. Shared Swimming Pool5. Homely Environment and Peaceful Ambiance6. Easy connectivity to major routes connecting other Emirates7. Close to uptown Midriff & Midriff City Center8. Near Etihad Mall and Arab CenterCall us today to book an appointment for a viewing and to place your rental offers. For more details and information, please feel free to contact us at ",Ready,,[],"January 27, 2022"
"https://www.bayut.com/property/details-5741388.html
",5741388,villa-compound,,Mirdif,Abaya Mall,16500000,5,[7],15000.000000000002,1393.5456000000001,25.224044041835,55.4174212116,6 Villa Compound | Newly Built | Hot Deal,any,Buy,"VIRTUE 21 is offering an excellent investment opportunity in buying a brand new 6 Villas compound in Mirdif. The Villas has a unique design with 5 en-suite bedrooms, maids room. Good ROI is expected based on market current rent. One Villa is Al ready rented, remaining villas almost booked.",Ready,Unfurnished,"['Balcony or Terrace', 'Maids Room', 'Flooring', 'Total Floors: 3', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Balcony or Terrace', 'Service Elevators', 'Completion Year: 2022', 'Flooring', 'Total Floors: 3', 'Kids Play Area', 'Laundry Room', 'Maids Room']","February 15, 2022"
"https://www.bayut.com/property/details-5410927.html
",5410927,villa-compound,,Umm Suqeim,,35000000,3,[3],17889,1661.9424825600001,25.151578,55.2074,Contemporary Compound | Excellent Villas,any,Buy,"Brought to you by Driven Properties, this Compound Villa is located in , Umm Suqeim. Unit Details:- Pool View- Total Area: 17000 square feet- Age - 4 years- Location - Al Safa 2- Rental income - 1,690,000- Bua - 17,889.44 square feet- Plot Size - 20,000 square feet- Designed by European ArchitectsFeatures:- Private outdoor pool for each home- Private parking Umm Suqeim is a non-freehold community of villas in Dubai. This community is conveniently located in between old and new Dubai. And known for its close proximity to the world-famous Burj Al ArabCall our Business Bay office for more information or viewing on ",Ready,,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Centrally Air-Conditioned', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Gym or Health Club', 'Swimming Pool', 'Broadband Internet']","September 26, 2021"
"https://www.bayut.com/property/details-5726278.html
",5726278,villa-compound,Golf Links,Dubai South,EMAAR South,2900000,4,[5],4821,447.88555584000005,24.860641325298,55.138900543005,Independent Single Row Villa 4 BD plus maid in 2.9M,any,Buy,"Independent Single Row Villa 4 BD plus maid in 2.9M. . . . Golf Link villas are the envy of Emaar South. Gated for your privacy and security, the villas are interconnected by shaded alleyways leading to parks, play areas and swimming pools where your family can truly embrace alfresco living. Choose between four- and five- bedroom standalone villas set alongside the expansive fairways of the upcoming golf course. Close to the urban core and community retail outlets, Golf Links is minutes away from Al Maktoum International Airport and the Expo 2020 site, promising a world of convenience. At Golf Links, you have every facility to live a good life. Call farrukh for more details ",Ready,Unfurnished,"['Balcony or Terrace', 'Swimming Pool', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Balcony or Terrace', 'Completion Year: 2020', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Waste Disposal', 'Broadband Internet', 'Satellite/Cable TV', 'Freehold']","February 9, 2022"
"https://www.bayut.com/property/details-5470804.html
",5470804,villa-compound,,Mirdif,,14500000,3,[5],18173,1688.32694592,25.222801361656,55.424952507019,Spacious  Near All Facilities  Private pool   GCC only,any,Buy,"Delighted to present this 7 units compound villas for sale locals and GCC national only. The villa, which sits on a huge plot of 18,173 sq. ft. , has been well maintained and comes with a private pool. Situated close to the main highway, Sheikh Mohammed bin Zayed Road, and the Airport Road, Mirdif is a family-friendly suburban living and one of the few communities in Dubai without a hotel. It is home to a wide range of educational institutes and other facilities. Property Feature * 7 villas compound* Each unit has *3 beds & maid with all  ensuit *1 hall down , one up small * close kitchen * common garden* private swimming pool Near to International school  walking distance Near to Mosque 2mints Neat to Shopping mall 2 mintsNear to Mirdif city center 3 to 4 mints. GHRE is the part of Reliable groups of companies , a well known company in Dubai. we are specialized in property brokerage, supervision & Management service. to arrange your viewing! Call zainab on ",Ready,Unfurnished,"['Balcony or Terrace', 'Maids Room', 'Swimming Pool', 'Centrally Air-Conditioned', 'Centrally Air-Conditioned', 'Storage Areas', 'Balcony or Terrace', 'Swimming Pool', 'Kids Play Area', 'Lawn or Garden', 'Cleaning Services', 'Security Staff', 'Maids Room']","October 24, 2021"
"https://www.bayut.com/property/details-5382809.html
",5382809,villa-compound,,Al Twar,Al Twar 1,8500000,21,[21],23090,2145.1311936,25.269557443161,55.366881609225,"Al Twar 1 , Compuntd of 12 villas for Sale 8.5M only",any,Buy,"ABOUT AL TWAR 1Al Twar 1 is a locality in the emirate of Dubai and a sub-community of Al Twar. It is considered an expensive residential district and is home to many Dubai businessmen. It is mainly a residential neighbourhood and is accessible via Al Nahda Street and Al Quds Street. The locality is within walking distance to Al Nahda Metro Station, Dubai International Airport, Al Bustan Centre & Residence, business outlets, retail shops and many other amenities. IN A NUTSHELLConnected to Al Nahda Road D93 and Abu Hail Road D91Family villas offer a safe and rich lifestyleA residential community that features smartly designed villasProperties come with high-quality finishes and fixturesNEIGHBOURHOODCOMMUNITY OVERVIEWAl Twar 1 is a self-contained gated community with 24-hour security, maintenance service providers and professional facility management. Popular points of interest of the locality are:Children's play areaCommunity parks The locality provides enough state-of-the-art indoor sports facilities where residents participate in sporting tournaments such as badminton, table tennis and football. Residents can head to community parks that provide enough green spaces to relax and chill. 12 villas compound for sale Rented 450k yearly selling 8.5M contact for details ",Ready,Unfurnished,[],"September 12, 2021"
"https://www.bayut.com/property/details-5914002.html
",5914002,villa-compound,,Mirdif,,6000000,4,[4],10000,929.0304000000001,25.222801361656,55.424952507019,**DEAL**HIGH QUALITY 4BR 4 VILLAS COMPOUND FOR SALE IN MIRDIF FAR FROM THE FLIGHT PATH,any,Buy,"The Realm Properties pleased to offer you a compound with large 4 4BR villas on a 10,000 sq ft plot for sale for just 6 Million only. PRIME LOCATION OF MIRDIF OPPOSITE TO AL ETIHAD MALLAll 4 properties are currently rent for a total amount of DHS 307,000/-Selling Price 6 MillionFor viewing appointments and further information, please Call or Whats app Mr. Mohammad on ",Ready,Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 2', 'Centrally Air-Conditioned', 'Central Heating', 'Parking Spaces: 2', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Storage Areas', 'Study Room', 'Balcony or Terrace', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Laundry Room', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom']","April 25, 2022"
