"address","location/lat","location/lng","name","numberOfGuests","pricing/rate/amount","pricing/rate/amount_formatted","pricing/rate/currency","pricing/rate/is_micros_accuracy","pricing/rate_type","pricing/rate_with_service_fee/amount","pricing/rate_with_service_fee/amount_formatted","pricing/rate_with_service_fee/currency","pricing/rate_with_service_fee/is_micros_accuracy","roomType","stars","url"
"Dubai, United Arab Emirates","25.1053","55.14933","Five Palm Luxury Beach Villa (three floors)","10","10000","ﺩ.ﺇ10,000","AED","false","nightly","10000","ﺩ.ﺇ10,000","AED","false","Entire villa","5","https://www.airbnb.com/rooms/46759293"
"Dubai, United Arab Emirates","25.10475","55.14953","Luxury Villa w/ Private Pool in FIVE Palm","7","5024","ﺩ.ﺇ5,024","AED","false","nightly","5024","ﺩ.ﺇ5,024","AED","false","Entire villa",,"https://www.airbnb.com/rooms/47765104"
"Dubai, United Arab Emirates","25.11151","55.13923","7,500 Sq Ft Palm Beachfront Estate","16","5200","ﺩ.ﺇ5,200","AED","false","nightly","5200","ﺩ.ﺇ5,200","AED","false","Entire villa","5","https://www.airbnb.com/rooms/41607264"
"Dubai, United Arab Emirates","25.1302","55.13854","Jamila Palm","6","5068","ﺩ.ﺇ5,068","AED","false","nightly","5068","ﺩ.ﺇ5,068","AED","false","Entire villa",,"https://www.airbnb.com/rooms/24231875"
"دبي, United Arab Emirates","25.09929","55.12185","5 bedroom villa with private beach","14","5286","ﺩ.ﺇ5,286","AED","false","nightly","5286","ﺩ.ﺇ5,286","AED","false","Entire villa","5","https://www.airbnb.com/rooms/50685188"
"Dubai, United Arab Emirates","25.119","55.139","White Palm Villa @ Palm Jumeirah","10","7500","ﺩ.ﺇ7,500","AED","false","nightly","7500","ﺩ.ﺇ7,500","AED","false","Entire villa","5","https://www.airbnb.com/rooms/29583111"
"Dubai, United Arab Emirates","25.122","55.11","W Residences | 4 BR | Ultimate Luxury on The Palm","10","6337","ﺩ.ﺇ6,337","AED","false","nightly","6337","ﺩ.ﺇ6,337","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/51135680"
"Dubai, United Arab Emirates","25.13053","55.13998","Palm Signature Estate near the Tip","16","7714","ﺩ.ﺇ7,714","AED","false","nightly","7714","ﺩ.ﺇ7,714","AED","false","Entire villa","5","https://www.airbnb.com/rooms/51912049"
"Dubai, United Arab Emirates","25.128","55.134","Stella Stays | Exceptional 4 BDR Palm Villa | Beach | Private Pool","10","6183","ﺩ.ﺇ6,183","AED","false","nightly","6183","ﺩ.ﺇ6,183","AED","false","Entire villa","5","https://www.airbnb.com/rooms/41413791"
"Dubai, United Arab Emirates","25.165","55.208","Lavish 7 Bedrooms villa on Kite Beach","15","8815","ﺩ.ﺇ8,815","AED","false","nightly","8815","ﺩ.ﺇ8,815","AED","false","Entire villa","4","https://www.airbnb.com/rooms/32652123"
"Dubai, United Arab Emirates","25.12029","55.14588","LUX | The Dubai Paradise Palace  |  13,000sq ft","14","7954","ﺩ.ﺇ7,954","AED","false","nightly","7954","ﺩ.ﺇ7,954","AED","false","Entire villa","4.5","https://www.airbnb.com/rooms/39143814"
"Dubai, United Arab Emirates","25.18933","55.27183","Dubai Penthouse with Private pool","10","5000","ﺩ.ﺇ5,000","AED","false","nightly","5000","ﺩ.ﺇ5,000","AED","false","Entire loft",,"https://www.airbnb.com/rooms/53986187"
"Dubai, United Arab Emirates","25.12735","55.12917","Luxury 5BR Villa with Private Pool and Beach","11","6355","ﺩ.ﺇ6,355","AED","false","nightly","6355","ﺩ.ﺇ6,355","AED","false","Entire villa",,"https://www.airbnb.com/rooms/43498868"
"Dubai, United Arab Emirates","25.07742","55.12213","VIP Castles Bluewaters Suites - Duplex Townhouse","9","5129","ﺩ.ﺇ5,129","AED","false","nightly","5129","ﺩ.ﺇ5,129","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/50274677"
"Dubai, United Arab Emirates","25.20018","55.27097","Extravagant 4 Bed in Address SV - Burj View","8","5450","ﺩ.ﺇ5,450","AED","false","nightly","5450","ﺩ.ﺇ5,450","AED","false","Entire serviced apartment",,"https://www.airbnb.com/rooms/47152513"
"Dubai, United Arab Emirates","25.07232","55.12575","DHH- Massive 4 Beds Sea View The Address JBR","9","6150","ﺩ.ﺇ6,150","AED","false","nightly","6150","ﺩ.ﺇ6,150","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/53334890"
"Dubai, United Arab Emirates","25.104","55.148","Five Palm Beach Villa with Private Pool","10","10429","ﺩ.ﺇ10,429","AED","false","nightly","10429","ﺩ.ﺇ10,429","AED","false","Entire villa","5","https://www.airbnb.com/rooms/22310925"
"Dubai, United Arab Emirates","25.07035","55.15262","Luxury and stylish 4BR Villa-Permit #MEA-009-6XXRT","8","5000","ﺩ.ﺇ5,000","AED","false","nightly","5000","ﺩ.ﺇ5,000","AED","false","Entire villa","5","https://www.airbnb.com/rooms/32053320"
"Dubai, United Arab Emirates","25.10396","55.14957","Amazing Three Bedrooms at FIVE  Palm Jumeirah","6","5432","ﺩ.ﺇ5,432","AED","false","nightly","5432","ﺩ.ﺇ5,432","AED","false","Entire serviced apartment","5","https://www.airbnb.com/rooms/49569089"
"Dubai, United Arab Emirates","25.193","55.275","Elite Royal Suit 2+1BR, fully facing Burj Khalifa","8","15000","ﺩ.ﺇ15,000","AED","false","nightly","15000","ﺩ.ﺇ15,000","AED","false","Entire rental unit","5","https://www.airbnb.com/rooms/22384481"
"Dubai, United Arab Emirates","25.19976","55.27443","Elite Royal Apartment | 3 Beds | Burj Khalifa View","8","15000","ﺩ.ﺇ15,000","AED","false","nightly","15000","ﺩ.ﺇ15,000","AED","false","Entire serviced apartment","5","https://www.airbnb.com/rooms/49182779"
"Dubai, United Arab Emirates","25.114","55.132","Luxury 4 bedrooms Villa at Palm Jumeirah","10","6000","ﺩ.ﺇ6,000","AED","false","nightly","6000","ﺩ.ﺇ6,000","AED","false","Entire villa",,"https://www.airbnb.com/rooms/53078096"
"Dubai, United Arab Emirates","25.24641","55.25563","Modern Villa near Nikki Beach Dubai","6","12996","ﺩ.ﺇ12,996","AED","false","nightly","12996","ﺩ.ﺇ12,996","AED","false","Entire villa",,"https://www.airbnb.com/rooms/54060925"
"Dubai, United Arab Emirates","25.18698","55.28974","Sky Floor- Two bedroom Burj Khalifa View","5","14786","ﺩ.ﺇ14,786","AED","false","nightly","14786","ﺩ.ﺇ14,786","AED","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/41041513"
"Dubai, United Arab Emirates","25.11227","55.12473","Deluxe 4BR Palm Villa| Private Beach & Pool with Complimentary Golf","8","5466","ﺩ.ﺇ5,466","AED","false","nightly","5466","ﺩ.ﺇ5,466","AED","false","Entire villa",,"https://www.airbnb.com/rooms/49084854"
"Dubai, United Arab Emirates","25.10315","55.1496","Luxury Penthouse with Private Pool at FIVE Palm","5","14353","ﺩ.ﺇ14,353","AED","false","nightly","14353","ﺩ.ﺇ14,353","AED","false","Entire rental unit",,"https://www.airbnb.com/rooms/46809951"
"Dubai, United Arab Emirates","25.19277","55.27855","Address Dubai Mall | 1 Bed | by bnbme homes","2","15000","ﺩ.ﺇ15,000","AED","false","nightly","15000","ﺩ.ﺇ15,000","AED","false","Entire condo",,"https://www.airbnb.com/rooms/49646185"
"دبي, United Arab Emirates","25.18821","55.291","SKY Floor one bedroom apartment","3","14786","ﺩ.ﺇ14,786","AED","false","nightly","14786","ﺩ.ﺇ14,786","AED","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/32985526"
"Dubai, United Arab Emirates","25.20512","55.27101","Royal Apartment | 5BRs | Full Burj Khalifa view","12","15000","ﺩ.ﺇ15,000","AED","false","nightly","15000","ﺩ.ﺇ15,000","AED","false","Entire rental unit","5","https://www.airbnb.com/rooms/47754732"
"Dubai, United Arab Emirates","25.13027","55.13373","Villa Quinta on Palm Jumeirah - 5 BR + kids room","12","10353","ﺩ.ﺇ10,353","AED","false","nightly","10353","ﺩ.ﺇ10,353","AED","false","Entire villa","4.5","https://www.airbnb.com/rooms/48827630"
"Dubai, United Arab Emirates","25.1927","55.27495","Elite Royal Apartment | 3 beds | Burj Khalifa view","8","15000","ﺩ.ﺇ15,000","AED","false","nightly","15000","ﺩ.ﺇ15,000","AED","false","Entire serviced apartment","5","https://www.airbnb.com/rooms/28857298"
"Dubai, United Arab Emirates","25.12595","55.13633","5 bedroom Villa in Palm with privet beach and pool","10","6613","ﺩ.ﺇ6,613","AED","false","nightly","6613","ﺩ.ﺇ6,613","AED","false","Entire villa",,"https://www.airbnb.com/rooms/54027855"
