Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"11-1-1974","2000-04-15 00:00:00","66132","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","59616","692.31","692.31","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1-1983","2000-05-28 00:00:00","59189","Sales","Sale","Ready","Non Free Hold","Residential","Al Satwa","Land","Residential","106920","551.84","551.84","","","","","","","2","1","",""
"11-1-1990","2000-04-01 00:00:00","58119","Sales","Sale","Ready","Non Free Hold","Residential","Al Musalla (Dubai)","Land","Residential","1300000","232.26","232.26","","","","","","","1","2","",""
"11-1-1992","2000-01-22 00:00:00","56484","Sales","Sale","Ready","Non Free Hold","Residential","Al Safaa","Land","Residential","500000","929.03","929.03","","","","","","","1","1","",""
"11-1-2000","2000-01-02 00:00:00","56259","Sales","Sale","Ready","Non Free Hold","Commercial","Hor Al Anz","Land","Commercial","1950000","694.17","694.17","","","","","","","1","1","",""
"11-10-2000","2000-01-12 00:00:00","40726","Sales","Sale","Ready","Non Free Hold","Residential","Abu Hail","Land","Residential Flats","450000","334.45","334.45","","","","Abu Baker Al Siddique Metro Station","","Dubai International Airport","1","1","",""
"11-100-2000","2000-02-20 00:00:00","58959","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","300000","1393.55","1393.55","","","","","","","1","1","",""
"11-101-2000","2000-02-20 00:00:00","57188","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","1100000","594.58","594.58","","","","","","","1","1","",""
"11-102-2000","2000-02-20 00:00:00","29590","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","4913952","9510.85","18261.29","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","2","1","",""
"11-103-2000","2000-02-20 00:00:00","29600","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","4305072","8332.38","8332.38","","","","","","","2","1","",""
"11-104-2000","2000-02-20 00:00:00","130819","Sales","Sale","Ready","Non Free Hold","Residential","Al-Aweer","Land","Agricultural","409000","19394.71","19394.71","","","","","","","1","1","",""
"11-105-2000","2000-02-20 00:00:00","57158","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","2309840","1650.7","1650.7","","","","","","","1","1","",""
"11-106-2000","2000-02-20 00:00:00","57192","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","2309840","1650.7","1650.7","","","","","","","1","1","",""
"11-107-2000","2000-02-21 00:00:00","57190","Sales","Sale","Ready","Non Free Hold","Residential","Hor Al Anz East","Land","Residential","750000","226.4","226.4","","","","","","","2","1","",""
"11-108-2000","2000-02-22 00:00:00","27937","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","283176","692.31","692.31","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","2","",""
"11-109-2000","2000-02-22 00:00:00","57152","Sales","Sale","Ready","Non Free Hold","Residential","Al Bada","Land","Residential","430000","222.97","222.97","","","","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","1","12","",""
"11-11-2000","2000-01-15 00:00:00","45773","Sales","Sale","Ready","Non Free Hold","Residential","Al Warqa Third","Land","Residential","250000","1103.87","1073.96","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","3","",""
"11-110-2000","2000-02-22 00:00:00","13705","Sales","Sale","Ready","Non Free Hold","Commercial","Al Satwa","Land","Commercial","4200000","233.93","233.93","","","","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","5","7","",""
"11-111-2000","2000-02-22 00:00:00","30242","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","270000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-112-2000","2000-02-22 00:00:00","49721","Sales","Sale","Ready","Non Free Hold","Commercial","Jumeirah Second","Land","Commercial","2650000","561.13","561.13","","","","","","","1","1","",""
"11-113-2000","2000-02-23 00:00:00","57285","Sales","Sale","Ready","Non Free Hold","Residential","Jumeirah","Land","Residential","390000","232.26","232.26","","","","","","","1","1","",""
"11-114-2000","2000-02-23 00:00:00","314865","Sales","Sale","Ready","Non Free Hold","Residential","Lehbab","Land","Agricultural","400000","23410.24","23410.24","","","","","","","1","1","",""
"11-115-2000","2000-02-26 00:00:00","53985","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","590000","334.45","334.45","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-116-2000","2000-02-26 00:00:00","55118","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","360000","334.45","334.45","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-117-2000","2000-02-26 00:00:00","38740","Sales","Sale","Ready","Non Free Hold","Commercial","Hor Al Anz East","Land","Commercial","7599900","2353.51","2353.51","","","","","","","1","1","",""
"11-118-2000","2000-02-26 00:00:00","38737","Sales","Sale","Ready","Non Free Hold","Commercial","Hor Al Anz East","Land","Commercial","7599900","2353.51","4707.02","","","","Al Qiyadah Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-119-2000","2000-02-26 00:00:00","3771","Sales","Sale","Ready","Non Free Hold","Commercial","Al Bada","Land","Commercial","1600000","929.03","929.03","","","","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"11-12-2000","2000-01-15 00:00:00","27977","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","386850","718.79","718.79","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-121-2000","2000-02-26 00:00:00","56867","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Third","Land","Residential","150000","1393.55","1393.55","","","","Dubai Internet City","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-122-2000","2000-02-26 00:00:00","83681","Sales","Sale","Ready","Non Free Hold","Residential","Nad Rashid","Land","Residential","600000","594.58","594.58","","","","","","","1","1","",""
