Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-11610-2022","2022-05-08 12:53:29","401276419","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Barsha South Fourth","Unit","Flat","437000","35.34","35.34","Studio","2","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Oxford 212"
"102-11611-2022","2022-05-08 12:53:46","401271479","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Barsha South Fourth","Unit","Flat","436320","37.59","37.59","Studio","1","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Oxford 212"
"102-11612-2022","2022-05-08 12:53:57","401274804","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Barsha South Fourth","Unit","Flat","760000","73.55","73.55","1 B/R","2","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Oxford 212"
"102-11613-2022","2022-05-08 12:54:08","401274519","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Barsha South Fourth","Unit","Flat","439560","36.94","36.94","Studio","2","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Oxford 212"
"102-11614-2022","2022-05-08 16:33:33","28113484","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","866000","39.53","39.53","Studio","48","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","AYKON CITY "
"102-11615-2022","2022-05-08 16:33:48","28110616","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","1286000","62.54","62.54","1 B/R","16","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","AYKON CITY "
"102-11616-2022","2022-05-08 16:33:58","28112636","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","1265180","62.94","62.94","1 B/R","36","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","AYKON CITY "
"102-11617-2022","2022-05-08 16:34:09","28113548","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","2083000","100.02","100.02","2 B/R","49","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","AYKON CITY "
"102-11618-2022","2022-05-08 16:34:20","28112576","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","822000","39.11","39.11","Studio","35","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","AYKON CITY "
"102-11619-2022","2022-05-08 16:34:32","28111420","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","1315000","63.39","63.39","1 B/R","24","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","AYKON CITY "
"102-11620-2022","2022-05-08 16:34:42","28112172","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","1225000","60.04","60.04","1 B/R","31","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","AYKON CITY "
"102-11621-2022","2022-05-08 16:34:54","28111196","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","1370000","64.61","64.61","1 B/R","21","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","AYKON CITY "
"102-11622-2022","2022-05-08 16:35:07","28114324","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","1418000","64.04","64.04","1 B/R","59","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","AYKON CITY "
"102-11623-2022","2022-05-08 16:35:19","28111740","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","692000","31.91","31.91","Studio","27","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","AYKON CITY "
"102-11624-2022","2022-05-09 07:26:29","251698588","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Barshaa South Third","Unit","Flat","604710.4","87.78","106.5","1 B/R","","G-121","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Q Gardens Boutique Residences"
"102-11625-2022","2022-05-09 07:27:12","376153727","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Barshaa South Third","Unit","Flat","481154.6","32.96","32.96","Studio","4","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","","SAMANA PARK VIEWS"
"102-11626-2022","2022-05-09 07:33:17","251700556","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Barshaa South Third","Unit","Flat","615315.2","89.32","89.13","1 B/R","","G-103","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Q Gardens Boutique Residences"
"102-11627-2022","2022-05-09 07:34:32","251700462","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Barshaa South Third","Unit","Flat","893836.8","129.75","129.16","2 B/R","","G-10","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Q Gardens Boutique Residences"
"102-11628-2022","2022-05-09 08:14:56","400527657","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","1941888","127.57","127.57","3 B/R","","","","","","1","1","","Arabian Ranches lll - Bliss 2"
"102-11629-2022","2022-05-09 08:17:58","389730711","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 7","Building","Villa","599000","52.78","52.78","1 B/R","","","","","","1","1","","Rukan 3"
"102-11630-2022","2022-05-09 08:42:37","28112844","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","1338000","63.39","63.39","1 B/R","39","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","AYKON CITY "
"102-11631-2022","2022-05-09 08:48:46","28112640","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Hotel Apartment","827000","39.27","39.27","Studio","36","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","AYKON CITY "
"102-11632-2022","2022-05-09 08:49:00","27236114","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Burj Khalifa","Unit","Flat","4000000","155.28","155.28","3 B/R","14","2","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","1","1","","FORTE"
"102-11633-2022","2022-05-09 08:50:53","389730215","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 7","Building","Villa","1200965","105.75","105.75","3 B/R","","","","","","1","1","","Rukan 3"
